"cell_line","drug","ref"
"786O#","Irinotecan","0.20922014"
"786O#","L685458","8"
"786O#","Lapatinib","7.17803525"
"786O#","LBW242","8"
"786O#","Nilotinib","8"
"786O#","Nutlin3","8"
"786O#","Paclitaxel","0.21331250"
"786O#","Panobinost","0.23768620"
"786O#","PD0325901","8"
"786O#","PD0332991","8"
"786O#","PF2341066","8"
"786O#","PHA665752","8"
"786O#","RAF265","6.63091945"
"786O#","Sorafenib","7.39381027"
"786O#","TAE684","8"
"786O#","TKI258","8"
"786O#","Topotecan","0.07082496"
"8305C#","17AAG","0.37540125"
"8305C","A769662","43.800"
"8305C#","AEW541","4.95063591"
"8305C","AKTinhibit","61.399"
"8305C","AP24534","0.399"
"8305C","AS601245","38.045"
"8305C","AUY922","0.031"
"8305C#","AZD0530","8"
"8305C#","AZD6244","8"
"8305C","AZD6482","12.259"
"8305C","BAY613606","2.409"
"8305C","Bexarotene","602.332"
"8305C","Bicalutami","73.490"
"8305C","Bleomycin","0.805"
"8305C","BMS754807","1.237"
"8305C","Bryostatin","0.244"
"8305C","CHIR99021","18.366"
"8305C","DMOG","591.620"
"8305C","Doxorubici","0.064"
"8305C","Embelin","25.404"
"8305C","Epothilone","0.002"
"8305C#","Erlotinib","8"
"8305C","Etoposide","2.315"
"8305C","FH535","3.971"
"8305C","FTI277","10.895"
"8305C","Gemcitabin","0.010"
"8305C","GSK650394","89.939"
"8305C","IPA3","4.149"
"8305C#","Irinotecan","0.50282299"
"8305C","JNK9L","0.398"
"8305C#","L685458","8"
"8305C#","Lapatinib","8"
"8305C#","LBW242","8"
"8305C","LFMA13","388.368"
"8305C","Midostauri","1.678"
"8305C","MitomycinC","0.157"
"8305C#","Nilotinib","5.63525022"
"8305C","NSC87877","372.405"
"8305C#","Nutlin3","8"
"8305C","ObatoclaxM","0.181"
"8305C","OSI906","44.785"
"8305C","PAC1","4.522"
"8305C#","Paclitaxel","0.00994848"
"8305C#","Panobinost","0.05073104"
"8305C","Pazopanib","43.266"
"8305C#","PD0325901","0.54444462"
"8305C#","PD0332991","5.33930826"
"8305C#","PF2341066","6.23650026"
"8305C","PF562271","1.099"
"8305C#","PHA665752","8"
"8305C#","PLX4720","5.31337070"
"8305C","QS11","2.751"
"8305C#","RAF265","1.02021813"
"8305C","Shikonin","0.306"
"8305C#","Sorafenib","8"
"8305C#","TAE684","2.53225946"
"8305C","Thapsigarg","0.003"
"8305C","Tipifarnib","0.976"
"8305C#","TKI258","8"
"8305C#","Topotecan","0.12189111"
"8305C","Vinorelbin","0.005"
"8305C#","ZD6474","8"
"8505C#","17AAG","0.28217494"
"8505C","A769662","48.950"
"8505C#","AEW541","8"
"8505C","AICAR","223307.145"
"8505C","AKTinhibit","48.141"
"8505C","AP24534","0.728"
"8505C","AS601245","2.891"
"8505C","AUY922","0.008"
"8505C#","AZD0530","8"
"8505C#","AZD6244","8"
"8505C","AZD6482","94.244"
"8505C","BAY613606","1.767"
"8505C","Bexarotene","21.085"
"8505C","Bicalutami","96.574"
"8505C","Bleomycin","1.040"
"8505C","BMS754807","1.359"
"8505C","Bryostatin","0.037"
"8505C","CHIR99021","35.540"
"8505C","DMOG","664.350"
"8505C","Doxorubici","0.020"
"8505C","Embelin","13.955"
"8505C","Epothilone","0.000"
"8505C#","Erlotinib","8"
"8505C","Etoposide","0.694"
"8505C","FH535","2.658"
"8505C","FTI277","24.754"
"8505C","Gemcitabin","0.001"
"8505C","GSK650394","7.734"
"8505C","IPA3","11.163"
"8505C#","Irinotecan","0.12469601"
"8505C","JNK9L","1.260"
"8505C#","L685458","8"
"8505C#","Lapatinib","8"
"8505C#","LBW242","8"
"8505C","LFMA13","242.692"
"8505C","Metformin","57667.394"
"8505C","Midostauri","0.277"
"8505C","MitomycinC","0.431"
"8505C#","Nilotinib","6.85252857"
"8505C","NSC87877","1251.341"
"8505C#","Nutlin3","8"
"8505C","ObatoclaxM","0.031"
"8505C","OSI906","53.957"
"8505C","PAC1","4.388"
"8505C#","Paclitaxel","0.01020778"
"8505C#","Panobinost","0.06885213"
