"gene","uni_id","pdb_id"
"CDK2","P24941","3PJ8"
"CDK2","P24941","3PXF"
"CDK2","P24941","3PXQ"
"CDK2","P24941","3PXR"
"CDK2","P24941","3PXY"
"CDK2","P24941","3PXZ"
"CDK2","P24941","3PY0"
"CDK2","P24941","3PY1"
"CDK2","P24941","3QHR"
"CDK2","P24941","3QHW"
"CDK2","P24941","3S2P"
"CDK2","P24941","3TNW"
"CDK2","P24941","3UNJ"
"CDK2","P24941","3UNK"
"CDK4","P11802","1LD2"
"CDK4","P11802","2W96"
"CDK4","P11802","2W99"
"CDK4","P11802","2W9F"
"CDK4","P11802","2W9Z"
"CDK4","P11802","3G33"
"CDK6","Q00534","1BI7"
"CDK6","Q00534","1BI8"
"CDK6","Q00534","1BLX"
"CDK6","Q00534","1G3N"
"CDK6","Q00534","1JOW"
"CDK6","Q00534","1XO2"
"CDK6","Q00534","2EUF"
"CDK6","Q00534","2F2C"
"CDK6","Q00534","3NUP"
"CDK6","Q00534","3NUX"
"CTNNB1","P35222","1G3J"
"CTNNB1","P35222","1JDH"
"CTNNB1","P35222","1JPW"
"CTNNB1","P35222","1LUJ"
"CTNNB1","P35222","1P22"
"CTNNB1","P35222","1QZ7"
"CTNNB1","P35222","1T08"
"CTNNB1","P35222","1TH1"
"CTNNB1","P35222","2G57"
"CTNNB1","P35222","2GL7"
"CTNNB1","P35222","2Z6H"
"CTNNB1","P35222","3DIW"
"CTNNB1","P35222","3FQN"
"CTNNB1","P35222","3FQR"
"CTNNB1","P35222","3SL9"
"CTNNB1","P35222","3SLA"
"CTNNB1","P35222","3TX7"
"EGFR","P00533","1DNQ"
"EGFR","P00533","1DNR"
"EGFR","P00533","1IVO"
"EGFR","P00533","1M14"
"EGFR","P00533","1M17"
"EGFR","P00533","1MOX"
"EGFR","P00533","1NQL"
"EGFR","P00533","1XKK"
