"gene","cell_line"
"ABL2","CAPAN2"
"ABL2","CAS1"
"ABL2","CCFSTTG1"
"ABL2","CFPAC1"
"ABL2","CGTHW1"
"ABL2","CHAGOK1"
"ABL2","CHL1"
"ABL2","CHP212"
"ABL2","CI1"
"ABL2","CJM"
"ABL2","CL11"
"ABL2","CL14"
"ABL2","CMK"
"ABL2","CMK115"
"ABL2","CMLT1"
"ABL2","COLO201"
"ABL2","COLO205"
"ABL2","COLO320"
"ABL2","COLO668"
"ABL2","COLO679"
"ABL2","COLO680N"
"ABL2","COLO684"
"ABL2","COLO699"
"ABL2","COLO704"
"ABL2","COLO741"
"ABL2","COLO783"
"ABL2","COLO792"
"ABL2","COLO818"
"ABL2","COLO829"
"ABL2","CORL23"
"ABL2","CORL24"
"ABL2","CORL279"
"ABL2","CORL47"
"ABL2","CORL51"
"ABL2","CORL88"
"ABL2","CORL95"
"ABL2","COV318"
"ABL2","COV362"
"ABL2","COV434"
"ABL2","COV504"
"ABL2","COV644"
"ABL2","CPCN"
"ABL2","D341MED"
"ABL2","DANG"
"ABL2","DAUDI"
"ABL2","DB"
"ABL2","DBTRG05MG"
"ABL2","DEL"
"ABL2","DETROIT562"
"ABL2","DKMG"
"ABL2","DMS114"
"ABL2","DMS153"
"ABL2","DMS273"
"ABL2","DMS454"
"ABL2","DMS53"
"ABL2","DMS79"
"ABL2","DOHH2"
"ABL2","DU4475"
"ABL2","DV90"
"ABL2","EBC1"
"ABL2","ECC10"
"ABL2","ECC12"
"ABL2","ECGI10"
"ABL2","EFE184"
"ABL2","EFO21"
"ABL2","EHEB"
"ABL2","EJM"
"ABL2","EM2"
"ABL2","EOL1"
"ABL2","EPLC272H"
"ABL2","ES2"
"ABL2","ESS1"
"ABL2","EVSAT"
"ABL2","F36P"
"ABL2","FADU"
"ABL2","FTC133"
"ABL2","FU97"
"ABL2","FUOV1"
"ABL2","G361"
"ABL2","G401"
"ABL2","G402"
"ABL2","GAMG"
"ABL2","GCIY"
"ABL2","GCT"
"ABL2","GDM1"
"ABL2","GI1"
"ABL2","GMS10"
"ABL2","GOS3"
"ABL2","GRANTA519"
"ABL2","GSS"
"ABL2","GSU"
"ABL2","HARA"
"ABL2","HCC1143"
"ABL2","HCC1171"
"ABL2","HCC1187"
"ABL2","HCC1195"
"ABL2","HCC1359"
"ABL2","HCC1419"
"ABL2","HCC1438"
"ABL2","HCC1500"
"ABL2","HCC1588"
"ABL2","HCC1599"
"ABL2","HCC1806"
"ABL2","HCC1833"
"ABL2","HCC1954"
"ABL2","HCC202"
"ABL2","HCC2108"
"ABL2","HCC2157"
"ABL2","HCC2218"
"ABL2","HCC2279"
"ABL2","HCC2935"
"ABL2","HCC33"
"ABL2","HCC38"
"ABL2","HCC4006"
"ABL2","HCC56"
"ABL2","HCC70"
"ABL2","HCC78"
"ABL2","HCC827"
"ABL2","HCC95"
"ABL2","HCT116"
"ABL2","HDLM2"
"ABL2","HDMYZ"
"ABL2","HEC108"
"ABL2","HEC1B"
"ABL2","HEC50B"
"ABL2","HEL"
"ABL2","HEL9217"
"ABL2","HEYA8"
"ABL2","HGC27"
"ABL2","HLF"
"ABL2","HLFA"
"ABL2","HMC18"
"ABL2","HOS"
"ABL2","HPAFII"
"ABL2","HPBALL"
"ABL2","HS172T"
"ABL2","HS229T"
"ABL2","HS281T"
"ABL2","HS343T"
"ABL2","HS571T"
"ABL2","HS578T"
"ABL2","HS600T"
"ABL2","HS604T"
"ABL2","HS611T"
"ABL2","HS616T"
"ABL2","HS618T"
"ABL2","HS675T"
"ABL2","HS683"
"ABL2","HS695T"
"ABL2","HS706T"
"ABL2","HS737T"
"ABL2","HS739T"
"ABL2","HS746T"
"ABL2","HS751T"
"ABL2","HS766T"
"ABL2","HS819T"
"ABL2","HS821T"
"ABL2","HS822T"
"ABL2","HS834T"
"ABL2","HS840T"
"ABL2","HS852T"
"ABL2","HS863T"
"ABL2","HS888T"
"ABL2","HS895T"
"ABL2","HS934T"
"ABL2","HS936T"
"ABL2","HS940T"
"ABL2","HS944T"
"ABL2","HSC2"
"ABL2","HSC3"
"ABL2","HSC4"
"ABL2","HT1080"
"ABL2","HT1376"
"ABL2","HT144"
"ABL2","HT29"
"ABL2","HT55"
"ABL2","HTK"
"ABL2","HUCCT1"
"ABL2","HUG1N"
"ABL2","HUH28"
"ABL2","HUH6"
"ABL2","HUH7"
"ABL2","HUNS1"
