"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"COLO699XXX","0.02694178","24","23","22","19","17","14","10"
"COLO741","0.003","63","60","59","57","56","54","52"
"COLO741XXX","0.02005576","20","19","19","16","16","15","12"
"COLO792","0.004","52","51","51","47","46","43","42"
"COLO800","0.018","42","41","41","40","39","38","38"
"COLO824","0.006","89","88","88","86","84","83","80"
"CORL105","0.010","40","37","35","30","28","28","24"
"CORL105XXX","0.12699063","21","19","19","15","13","0","0"
"CORL23","0.001","90","87","86","83","81","78","75"
"CORL23XXX","0.03195561","24","23","22","20","19","19","16"
"CORL88","0.060","25","22","22","20","19","18","17"
"COV318XXX","0.15805970","24","23","23","21","19","0","0"
"COV504XXX","0.01918957","23","22","22","20","20","19","17"
"CP50MELB","0.005","90","85","83","76","74","73","68"
"CP67MEL","0.038","25","22","21","15","15","14","13"
"CROAP2","0.170","8","7","7","6","6","6","4"
"CW2","0.003","92","91","91","90","88","86","83"
"D263MG","0.001","130","128","128","126","121","119","115"
"D336MG","0.001","85","83","83","80","78","75","72"
"D392MG","0.001","81","80","80","77","77","75","70"
"D502MG","0.004","106","104","103","100","98","96","93"
"DAOYXXX","0.01094528","24","23","22","20","19","19","19"
"DB","0.001","59","56","54","53","52","51","49"
"DBTRG05MG","0.004","90","86","85","81","78","75","69"
"DBTRG05MGX","0.02176064","24","23","22","17","17","17","14"
"DEL","0.001","92","89","87","81","77","76","74"
"DELXXX","0.00962453","24","20","19","17","16","16","14"
"Detroit562","0.001","90","88","87","83","81","80","75"
"DETROIT562","0.01330032","23","22","22","20","20","20","16"
"DG75","0.019","40","39","36","34","33","32","31"
"DJM1","0.003","130","126","126","118","117","115","110"
"DKMG","0.007","90","87","87","82","78","76","72"
"DKMGXXX","0.01984643","24","23","22","21","20","19","19"
"DMS114","0.129","40","39","39","38","35","34","26"
"DMS114XXX","0.00578332","23","22","22","21","20","20","17"
"DMS153","0.669","40","33","32","26","23","17","10"
"DMS273","0.001","52","51","50","48","48","47","47"
"DMS79","0.051","40","39","39","37","34","33","32"
"DOHH2","0.001","92","88","87","81","78","77","73"
"DOHH2XXX","0.00254261","24","23","23","22","20","20","17"
"DOK","0.003","90","88","87","81","78","75","68"
"DoTc24510","0.004","51","50","49","48","48","46","42"
"DOV13XXX","0.00465488","24","23","23","21","20","19","19"
"DU145","0.001","90","89","89","83","83","80","76"
"DU145XXX","0.00808272","24","23","22","20","19","18","18"
"DU4475","0.004","65","62","61","53","51","49","46"
"DV90XXX","0.00758911","20","19","19","15","14","14","12"
"EB1XXX","0.01296604","23","22","22","20","20","19","17"
"EB2","1.909","33","29","26","22","19","16","9"
"EB2XXX","0.01822001","23","22","22","20","20","19","19"
"EB3","0.037","25","23","23","19","19","18","18"
"EBC1XXX","0.01874927","24","20","19","17","16","16","14"
"ECC12","0.001","29","27","27","27","27","25","25"
"ECC4","0.029","40","38","38","38","36","35","30"
"ECGI10","0.001","42","41","40","39","38","37","37"
"EFE184","0.043","38","36","36","31","30","27","21"
"EFE184XXX","0.14477713","24","22","22","19","18","0","0"
"EFM19","0.002","52","50","50","50","47","45","44"
"EFM19XXX","0.00909833","24","23","22","21","20","20","17"
"EFO21","0.010","90","85","84","80","76","73","67"
"EFO21XXX","0.03029122","24","23","23","19","18","16","15"
"EFO27","0.001","52","51","51","49","47","45","43"
"EFO27XXX","0.02042012","22","20","20","19","17","15","15"
"EGI1","0.004","90","87","86","81","78","76","72"
"EKVX","0.002","80","79","79","77","77","75","70"
"EM2XXX","0.00254261","24","22","22","18","18","16","13"
"ENXXX","0.00999075","24","23","23","22","22","22","22"
"EPLC272H","0.001","52","51","51","50","48","46","43"
"ES2XXX","0.02438791","22","20","19","18","15","15","15"
"ES3","0.001","91","90","88","87","85","84","81"
"ES5","0.001","91","89","88","84","84","81","79"
"ESS1XXX","0.00759400","19","17","17","14","14","14","14"
"EVSAT","0.500","1","0","0","0","0","0","0"
"EW1","0.001","92","88","87","82","79","78","72"
"EW11","0.002","89","86","85","84","82","81","81"
"EW12","0.023","40","39","39","38","38","38","37"
"EW13","0.003","92","90","90","85","84","83","82"
"EW18","0.018","40","39","39","39","39","39","38"
"EW22","0.001","67","66","66","65","63","62","61"
"EW24","0.004","42","39","38","38","38","34","32"
"EW3","0.031","40","38","36","34","33","33","28"
"F36PXXX","0.00399902","24","23","23","22","20","17","13"
"FADU","0.001","90","88","88","85","83","82","77"
"FADUXXX","0.00771488","23","21","21","20","19","19","15"
"FTC133","0.001","90","89","89","87","84","81","78"
"FU97XXX","0.01399087","21","19","18","18","17","17","13"
"FUOV1XXX","0.00867361","24","23","22","22","20","20","19"
"G361","234486.646","2","1","1","0","0","0","0"
"G361XXX","0.00575231","24","23","21","20","19","16","15"
"G401","0.001","52","51","51","48","47","46","45"
"G401XXX","0.00548632","24","22","22","20","19","19","18"
"G402","0.001","80","78","77","75","72","68","65"
"G402XXX","0.00312029","21","20","20","18","17","17","17"
"GAK","0.009","99","97","96","86","83","79","73"
"GAMGXXX","0.01700017","20","19","19","17","17","17","16"
"GB1","0.001","130","128","128","121","117","116","107"
"GB1XXX","0.03985693","24","20","20","18","17","15","0"
"GCIY","0.002","116","115","114","110","103","100","91"
"GCIYXXX","0.03921378","23","21","21","19","18","16","0"
"GCT","0.002","57","55","54","52","51","51","48"
"GCTXXX","0.00294612","24","23","23","20","20","20","18"
"GDM1","1.046","39","38","35","27","24","18","10"
"GI1","0.001","130","126","122","117","115","110","104"
"GI1XXX","0.01261146","20","19","18","17","17","17","16"
"GIMEN","0.001","130","129","128","124","122","114","108"
"GLC82XXX","0.03027726","24","22","22","22","20","20","17"
"GMS10","0.001","90","89","89","87","87","86","81"
"GMS10XXX","0.01023856","24","23","23","21","21","21","21"
"GOTO","0.017","58","57","56","49","48","47","45"
"GP5d","0.003","90","86","85","80","77","73","69"
"GRANTA519X","0.00254261","24","23","22","19","18","18","17"
"GRST","0.001","92","90","90","89","85","82","78"
"H4","0.001","91","85","85","77","76","75","73"
"H4XXX","0.03661426","23","21","20","19","19","17","0"
"HAL01","0.003","92","91","91","88","87","81","72"
"HARAXXX","0.00782156","21","20","20","19","17","17","17"
"HC1","0.001","40","39","39","38","37","34","33"
"HCC1187","0.004","64","63","62","62","62","61","60"
"HCC1187XXX","0.00962630","23","22","22","21","21","20","19"
"HCC1395","0.022","43","41","40","38","37","37","32"
"HCC1395XXX","0.01129406","20","19","19","19","18","18","18"
"HCC1419","0.062","38","36","35","32","29","25","22"
"HCC15XXX","0.00708504","23","22","22","20","20","20","19"
"HCC1569","0.005","90","88","86","81","81","76","71"
"HCC1569XXX","0.20115508","24","22","21","20","0","0","0"
"HCC1599","0.012","40","37","34","32","31","30","27"
"HCC1806","0.001","75","71","69","67","66","65","59"
"HCC1806XXX","0.00299683","23","22","22","19","19","19","19"
"HCC1954","0.009","90","86","86","85","83","79","77"
"HCC1954XXX","0.01000103","23","22","21","20","20","20","17"
"HCC2157","0.023","40","39","39","35","34","30","29"
"HCC2218","0.020","40","38","38","35","32","31","28"
