"cell_line","tissue_type","No_of_drugs_tried","No_of_targets"
"MEG01","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"MELHO","SKIN","122","195"
"MELHO","SKIN","24","38"
"MELJUSO","SKIN","81","130"
"MESSA","SOFT TISSUE","69","110"
"MESSA","SOFT TISSUE","23","37"
"MEWO","SKIN","24","38"
"MFE280","ENDOMETRIUM","122","195"
"MFE280","UTERUS","24","38"
"MFE296","ENDOMETRIUM","58","93"
"MFE296","UTERUS","21","34"
"MFE319","ENDOMETRIUM","20","32"
"MFHino","SOFT TISSUE","109","174"
"MFM223","BREAST","138","221"
"MG63","BONE","122","195"
"MG63","BONE","24","38"
"MHHCALL2","BLOOD","77","123"
"MHHES1","BONE","122","195"
"MHHES1","BONE","24","38"
"MHHNB11","CENTRAL NERVOUS SYSTEM","133","213"
"MHHPREB1","BLOOD","129","206"
"MIAPACA2","PANCREAS","24","38"
"MIAPaCa2","PANCREAS","98","157"
"MINO","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"MJ","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"MKN1","GI TRACT","94","150"
"MKN28","GI TRACT","95","152"
"MKN45","GI TRACT","113","181"
"MKN45","STOMACH","24","38"
"MKN7","GI TRACT","122","195"
"MKN7","STOMACH","24","38"
