"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"HUPT4","0","0","1","3","2","17","0","0"
"HUT78","0","0","4","1","5","13","0","0"
"HUTU80","12","0","5","6","11","35","35","13"
"IALM","4","0","6","12","4","64","47","10"
"IGR1","3","0","5","3","7","31","38","11"
"IGR37","0","0","2","1","3","18","0","0"
"IGR39","0","0","1","1","2","20","0","0"
"IGROV1","4","0","3","10","19","52","18","11"
"IM9","0","0","1","3","4","18","29","22"
"IM95","0","0","1","2","1","19","0","0"
"IMR32","0","1","0","2","0","20","0","0"
"IMR5","2","0","3","7","7","17","29","12"
"IPC298","0","0","4","5","6","29","10","7"
"ISHIKAWAHERAKLIO02ER","0","1","1","1","2","15","0","0"
"ISTMEL1","9","0","5","6","12","44","51","11"
"ISTMES1","0","0","3","8","16","55","63","17"
"ISTMES2","0","0","1","3","3","17","0","0"
"ISTSL1","3","0","2","5","12","33","72","11"
"ISTSL2","3","0","3","8","6","32","24","1"
"J82","3","0","5","5","9","50","40","4"
"JAR","3","0","4","6","7","25","66","26"
"JEG3","1","0","6","4","4","23","47","13"
"JHH2","0","0","0","1","1","22","0","0"
"JHH4","0","0","0","3","1","20","0","0"
"JHH5","0","0","2","2","3","14","0","0"
"JHH6","0","0","1","0","2","21","0","0"
"JHH7","0","1","0","2","1","15","0","0"
"JHOS2","0","0","1","0","3","19","0","0"
"JHOS4","0","0","1","0","2","20","0","0"
"JHUEM2","0","0","2","2","0","16","0","0"
"JiyoyeP2003","0","0","6","4","6","27","29","5"
"JM1","0","0","1","1","1","20","0","0"
"JMSU1","0","0","1","3","4","16","0","0"
"JRT3T35","3","0","9","7","10","35","50","15"
"JURKAT","0","0","1","2","1","20","0","0"
"JVM2","0","0","1","2","6","26","68","22"
"JVM3","4","1","5","4","10","48","45","36"
"K029AX","0","1","0","3","2","18","0","0"
"K052","0","0","2","4","8","14","25","18"
"K5","5","0","4","7","14","39","47","13"
"K562","3","0","2","4","10","29","55","26"
"KALS1","6","0","8","8","13","57","58","8"
"KARPAS299","1","0","2","10","10","41","67","21"
"KARPAS422","0","0","3","8","12","40","32","6"
"KARPAS45","3","0","8","9","12","46","35","11"
"KARPAS620","0","1","2","1","3","17","0","0"
"KASUMI1","3","0","7","4","4","18","18","20"
"KASUMI2","0","1","1","3","0","19","0","0"
"KCIMOH1","0","1","0","1","2","16","0","0"
"KCL22","0","0","2","3","3","16","0","0"
"KE37","9","0","8","10","11","28","55","8"
"KE39","0","0","1","1","1","20","0","0"
"KE97","0","1","1","3","1","18","0","0"
"KELLY","0","0","0","2","1","17","0","0"
"KG1","1","0","5","11","20","52","47","17"
