"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"KMBC2","0.06","3","2","2","2","2","2","0"
"KMH2","0.58","11","8","8","7","6","4","2"
"KMM1","0.19","6","4","3","1","0","0","0"
"KMRC1","0.31","3","2","2","1","0","0","0"
"KMRC2","2.81","4","0","0","0","0","0","0"
"KMS11","0.03","1","0","0","0","0","0","0"
"KNS42","0.49","6","5","5","3","3","3","1"
"KNS60","7.04","8","0","0","0","0","0","0"
"KNS62","8.32","3","2","2","0","0","0","0"
"KP2","1.30","3","2","1","0","0","0","0"
"KP3","2.23","5","2","0","0","0","0","0"
"KP4","0.04","6","3","3","2","2","2","2"
"KPNRTBM1","0.33","2","1","1","0","0","0","0"
"KPNSI9S","0.08","2","1","1","1","1","0","0"
"KPNYN","27.52","2","0","0","0","0","0","0"
"KS1","0.01","3","1","1","1","1","1","1"
"KU1919","0.11","7","6","6","6","5","5","2"
"KU812","0.34","2","1","1","1","1","1","1"
"KURAMOCHI","8.00","4","2","2","0","0","0","0"
"KYSE140","1.14","8","7","7","6","6","5","1"
"KYSE150","0.04","12","9","9","8","8","8","6"
"KYSE180","0.01","4","3","3","1","1","1","1"
"KYSE270","5.63","2","1","1","0","0","0","0"
"KYSE30","8.00","2","0","0","0","0","0","0"
"KYSE410","0.18","13","12","12","9","6","5","5"
"KYSE450","0.06","11","10","9","8","6","5","2"
"KYSE510","0.01","19","18","18","15","15","12","12"
"KYSE520","3.44","3","1","1","1","0","0","0"
"KYSE70","0.15","19","18","18","14","12","7","4"
"L33","8.00","2","0","0","0","0","0","0"
"L363","0.01","11","10","10","10","8","4","3"
"L428","0.54","3","2","2","2","2","2","2"
"L540","0.01","10","9","9","9","7","6","6"
"LCLC103H","8.00","5","2","2","0","0","0","0"
"LCLC97TM1","0.08","3","2","2","2","1","1","0"
"LK2","0.02","4","3","3","3","3","3","3"
"LN229","8.00","2","0","0","0","0","0","0"
"LOUCY","0.59","1","0","0","0","0","0","0"
"LOUNH91","8.00","4","0","0","0","0","0","0"
"LOXIMVI","0.70","10","9","7","2","0","0","0"
"LS1034","0.06","10","9","9","6","6","6","4"
"LS123","0.38","3","2","2","2","2","2","1"
"LS411N","0.01","98","94","94","90","82","76","74"
"LS513","0.07","11","9","9","9","8","8","6"
"LU65","0.20","4","2","0","0","0","0","0"
"LU99","1.08","4","2","0","0","0","0","0"
"LXF289","3.89","5","2","1","0","0","0","0"
"MALME3M","0.29","1","0","0","0","0","0","0"
"MC116","0.19","7","6","5","5","3","3","2"
"MCF7","0.05","3","2","2","1","1","1","1"
"MDAMB231","18.49","6","4","4","1","1","0","0"
"MDAMB361","0.06","14","11","11","4","4","4","4"
"MDAMB415","4.98","6","2","2","2","2","2","0"
"MDAMB435S","2.31","3","2","0","0","0","0","0"
"MDAMB436","8.00","2","0","0","0","0","0","0"
"MDAMB453","1.44","13","9","9","3","3","2","2"
"MDAMB468","2.31","1","0","0","0","0","0","0"
"MEC1","0.44","1","0","0","0","0","0","0"
"MEG01","3.39","4","2","2","2","0","0","0"
"MELHO","0.07","6","5","4","3","3","1","1"
"MELJUSO","0.50","10","8","8","5","5","4","3"
"MEWO","8.00","9","0","0","0","0","0","0"
"MFE280","0.01","6","5","5","3","1","1","1"
"MFE296","0.02","7","6","6","5","5","5","4"
"MFE319","0.08","16","15","15","14","9","9","0"
"MG63","3.61","1","0","0","0","0","0","0"
"MHHES1","0.01","9","8","8","6","5","5","5"
"MHHNB11","0.25","4","3","3","2","1","1","0"
"MJ","0.10","3","2","2","2","2","0","0"
"MKN1","0.00","NA","NA","NA","NA","NA","NA","NA"
"MKN7","28.31","2","0","0","0","0","0","0"
"MKN74","8.00","2","0","0","0","0","0","0"
"MOLP8","0.32","1","0","0","0","0","0","0"
"MOLT13","0.11","3","2","1","0","0","0","0"
"MOLT16","0.01","53","46","46","42","40","34","30"
"MONOMAC1","0.01","1","0","0","0","0","0","0"
"MONOMAC6","0.00","NA","NA","NA","NA","NA","NA","NA"
"MORCPR","0.08","1","0","0","0","0","0","0"
"MPP89","79.74","1","0","0","0","0","0","0"
"MSTO211H","2.28","5","4","3","1","0","0","0"
"MV411","2.37","1","0","0","0","0","0","0"
"NALM6","0.00","NA","NA","NA","NA","NA","NA","NA"
"NCIH1048","0.09","8","6","6","4","3","3","1"
"NCIH1092","0.14","17","16","16","16","15","7","5"
"NCIH1299","48.15","1","0","0","0","0","0","0"
"NCIH1339","8.00","4","0","0","0","0","0","0"
"NCIH1355","0.07","14","13","13","13","13","10","4"
"NCIH1373","8.00","5","0","0","0","0","0","0"
"NCIH1436","3.83","2","0","0","0","0","0","0"
"NCIH1437","0.03","7","5","4","2","2","1","1"
"NCIH1563","0.37","8","7","7","4","2","1","0"
"NCIH1568","7.92","3","0","0","0","0","0","0"
"NCIH1573","0.00","NA","NA","NA","NA","NA","NA","NA"
"NCIH1581","0.10","8","7","7","4","4","4","3"
"NCIH1618","169.64","1","0","0","0","0","0","0"
"NCIH1623","82.12","7","4","2","0","0","0","0"
"NCIH1648","0.11","3","2","2","1","1","1","1"
"NCIH1650","0.99","9","7","7","3","3","1","1"
"NCIH1651","8.00","7","2","2","2","2","0","0"
"NCIH1666","8.00","9","5","5","2","0","0","0"
"NCIH1693","0.14","7","6","6","6","5","4","3"
"NCIH1694","0.51","3","1","1","1","1","1","1"
"NCIH1703","30.77","3","0","0","0","0","0","0"
"NCIH1755","0.28","4","3","3","3","2","1","1"
"NCIH1792","0.68","7","5","5","4","4","2","1"
"NCIH1793","1.84","18","16","9","5","3","3","2"
"NCIH1838","11.10","4","3","3","1","0","0","0"
"NCIH1869","0.10","3","2","2","2","2","0","0"
"NCIH1915","8.00","2","0","0","0","0","0","0"
"NCIH1975","0.62","13","11","11","2","0","0","0"
"NCIH2009","0.03","5","4","4","3","2","2","2"
"NCIH2023","4.01","6","0","0","0","0","0","0"
"NCIH2029","95.62","2","0","0","0","0","0","0"
"NCIH2030","4.16","3","1","0","0","0","0","0"
"NCIH2087","0.94","9","8","8","5","5","4","3"
"NCIH211","0.13","3","2","2","2","1","0","0"
"NCIH2122","0.01","11","10","8","7","7","7","7"
"NCIH2126","0.10","13","12","12","12","11","9","9"
"NCIH2141","0.24","3","2","2","2","2","2","2"
"NCIH2170","0.12","3","2","2","2","2","2","2"
"NCIH2172","0.03","7","5","5","5","5","5","5"
"NCIH2196","0.66","1","0","0","0","0","0","0"
"NCIH2227","30.66","6","4","4","1","0","0","0"
"NCIH2228","31.14","2","0","0","0","0","0","0"
"NCIH226","201.55","1","0","0","0","0","0","0"
"NCIH2286","1.19","6","4","4","0","0","0","0"
"NCIH2291","1.80","5","4","3","1","1","1","0"
"NCIH23","0.03","21","19","19","18","18","16","16"
"NCIH2342","0.02","11","9","9","8","8","8","8"
"NCIH2347","0.08","8","4","4","4","4","2","2"
"NCIH2405","0.03","3","2","2","1","1","1","1"
"NCIH2444","8.00","2","0","0","0","0","0","0"
"NCIH2452","21.66","1","0","0","0","0","0","0"
"NCIH3255","0.08","4","2","1","1","1","1","0"
"NCIH358","1.13","8","5","5","3","0","0","0"
"NCIH441","54.06","1","0","0","0","0","0","0"
"NCIH446","0.17","14","12","12","9","9","9","8"
"NCIH460","0.01","16","14","14","10","10","10","9"
"NCIH520","0.31","2","1","1","1","1","1","1"
